MATNR,LGPLA
10158851.0,R-12-01-29
10170724.0,R-12-01-87
10170733.0,R12-01-166
10170734.0,R12-01-118
10171191.0,R-12-01-15
10171497.0,R12-01-189
10171899.0,R12-01-115
10177860.0,R12-01-107
10177877.0,R-12-01-71
10178108.0,R-12-01-16
10178116.0,R-12-01-61
10179118.0,R12-01-104
10179241.0,R-12-01-23
10179888.0,R-12-01-49
10179893.0,R-12-01-67
10181501.0,R12-01-123
10181503.0,R12-01-130
10181629.0,R-12-01-04
10182450.0,R-12-01-02
10182488.0,R-12-01-07
10182514.0,R-12-01-81
10182538.0,R-12-01-64
10185438.0,R12-01-156
10185465.0,R12-01-131
10185680.0,R-12-01-82
10185699.0,R12-01-151
10185701.0,R-12-01-20
10185704.0,R12-01-153
10185711.0,R12-01-139
10185721.0,R-12-01-10
10185724.0,R-12-01-65
10185733.0,R-12-01-08
10185735.0,R-12-01-69
10185739.0,R-12-01-72
10185741.0,R-12-01-34
10185952.0,R-12-01-24
10186081.0,R-12-01-33
10186180.0,R-12-01-96
10186199.0,R-12-01-44
10186200.0,R-12-01-11
10186243.0,R-12-01-75
10186247.0,R12-01-179
10186248.0,R-12-01-28
10186263.0,R-12-01-50
10186557.0,R-12-01-60
10186889.0,R12-01-165
10186897.0,R12-01-194
10186898.0,R12-01-113
10186905.0,R-12-01-92
10186916.0,R12-01-157
10188380.0,R12-01-184
10188393.0,R-12-01-66
10188952.0,R12-01-195
10189036.0,R-12-01-85
10189148.0,R12-01-126
10190013.0,R-12-01-54
10190138.0,R-12-01-47
10190139.0,R12-01-141
10190150.0,R12-01-191
10190164.0,R-12-01-68
10190165.0,R-12-01-88
10190166.0,R-12-01-21
10190171.0,R-12-01-01
10190175.0,R-12-01-41
10190176.0,R-12-01-89
10190186.0,R-12-01-35
10190439.0,R-12-01-95
10190456.0,R12-01-137
10191039.0,R12-01-109
10191060.0,R-12-01-62
10191061.0,R-12-01-97
10191065.0,R-12-01-83
10191076.0,R12-01-143
10191086.0,R-12-01-53
10191091.0,R-12-01-03
10191093.0,R-12-01-76
10191095.0,R-12-01-91
10191099.0,R-12-01-56
10191104.0,R-12-01-05
10191107.0,R12-01-116
10191110.0,R-12-01-45
10191112.0,R12-01-163
10191113.0,R12-01-144
10191115.0,R-12-01-55
10191118.0,R12-01-162
10191120.0,R-12-01-13
10191121.0,R12-01-193
10191124.0,R12-01-122
10191130.0,R-12-01-98
10191141.0,R-12-01-12
10191161.0,R12-01-135
10191198.0,R12-01-111
10191213.0,R-12-01-59
10191846.0,R-12-01-36
10191860.0,R-12-01-39
10191977.0,R-12-01-51
10192149.0,R12-01-168
10192160.0,R-12-01-73
10192166.0,R12-01-169
10192173.0,R12-01-177
10192193.0,R12-01-183
10192201.0,R12-01-173
10192218.0,R-12-01-77
10192233.0,R-12-01-52
10192254.0,R-12-01-32
10192260.0,R-12-01-79
10192262.0,R-12-01-22
10192269.0,R-12-01-30
10192297.0,R-12-01-46
10192330.0,R-12-01-09
10192363.0,R-12-01-26
10192367.0,R12-01-187
10192373.0,R-12-01-99
10192380.0,R12-01-101
10192381.0,R-12-01-70
10192383.0,R-12-01-48
10192384.0,R12-01-178
10192386.0,R12-01-119
10192389.0,R-12-01-57
10192412.0,R12-01-190
10192463.0,R-12-01-31
10192482.0,R12-01-186
10192485.0,R-12-01-27
10192490.0,R-12-01-40
10192494.0,R-12-01-94
10192497.0,R-12-01-74
10192499.0,R-12-01-84
10192503.0,R12-01-120
10192533.0,R-12-01-43
10193169.0,R-12-01-14
10193368.0,R12-01-154
10193507.0,R12-01-121
10193521.0,R12-01-180
10193753.0,R-12-01-17
10193762.0,R-12-01-58
10193763.0,R-12-01-25
10193771.0,R-12-01-93
10194267.0,R-12-01-63
10195014.0,R12-01-145
10195023.0,R-12-01-86
10195759.0,R12-01-124
10195779.0,R12-01-117
10195784.0,R12-01-105
10195785.0,R-12-01-37
10195994.0,R12-01-103
10195999.0,R12-01-112
10196004.0,R12-01-106
10196246.0,R-12-01-18
10196248.0,R-12-01-19
10196249.0,R12-01-102
10196252.0,R12-01-110
10196254.0,R12-01-114
10196263.0,R12-01-125
10196274.0,R12-01-108
50063231.0,R12-01-185
50063261.0,R12-01-188
50063290.0,R12-01-182
