Material,Source Storage Bin,Source target qty,Alternative Unit of Measure,Queue,Batch,Transfer Order Number,Dest.Storage Bin,Filler,Filler.1,Order_qty_Case,MM_Case_KG_TH,height_Case,length_Case,width_Case,Order_qty_PAL,MM_PAL_KG_TH,height_PAL,length_PAL,width_PAL,Case_on_Layer,height_Layer,length_Layer,width_Layer,SKU,AUFPACKEN_JA_NEIN,GEEIGNET_UNTERBAU,FREITEXT_1,FREITEXT_2,IMG_1,IMG_2
10192165,R-12-02-12,210.0,TH,GITPD,16491912.0,1879454,3202656508,,,21.0,10.0,505.0,406.0,214.0,1.0,210.0,166.5,120.0,80.0,70.0,0.0,0.0,0.0,10192165,True,True,,,,
10198439,R-11-01-03,8.61,KG,CASE,74102024.0,1879455,3202656509,,,7.0,1.23,346.0,511.0,212.0,0.2,43.05,188.0,120.0,80.0,8.61,0.0,0.0,0.0,10198439,True,True,,,,
10185733,R-04-01-07,124.2,KG,GITPD,55142024.0,1879456,3202656509,,,23.0,5.4,483.0,406.0,254.0,1.0,124.2,185.3,120.0,80.0,37.8,0.0,0.0,0.0,10185733,True,False,,,,
10185733,R-04-01-08,124.2,KG,GITPD,55142024.0,1879457,3202656509,,,23.0,5.4,483.0,406.0,254.0,1.0,124.2,185.3,120.0,80.0,37.8,0.0,0.0,0.0,10185733,True,False,,,,
10179241,R-11-03-14,124.2,KG,GITPD,55152024.0,1879458,3202656509,,,23.0,5.4,483.0,406.0,254.0,1.0,124.2,185.3,120.0,80.0,37.8,0.0,0.0,0.0,10179241,True,False,,,,
10198491,G7E12,37.6,KG,GITPD,74142024.0,1879459,3202656509,,,40.00000000000001,0.94,352.0,414.0,210.0,1.0,37.6,183.0,120.0,80.0,4.7,0.0,0.0,0.0,10198491,True,True,,,,
10198491,G7E12,37.6,KG,GITPD,74142024.0,1879460,3202656509,,,40.00000000000001,0.94,352.0,414.0,210.0,1.0,37.6,183.0,120.0,80.0,4.7,0.0,0.0,0.0,10198491,True,True,,,,
10198491,G7B03,37.6,KG,GITPD,74152024.0,1879601,3202656509,,,40.00000000000001,0.94,352.0,414.0,210.0,1.0,37.6,183.0,120.0,80.0,4.7,0.0,0.0,0.0,10198491,True,True,,,,
10198491,G7B04,37.6,KG,GITPD,74152024.0,1879602,3202656509,,,40.00000000000001,0.94,352.0,414.0,210.0,1.0,37.6,183.0,120.0,80.0,4.7,0.0,0.0,0.0,10198491,True,True,,,,
10198491,G7B04,37.6,KG,GITPD,74152024.0,1879603,3202656509,,,40.00000000000001,0.94,352.0,414.0,210.0,1.0,37.6,183.0,120.0,80.0,4.7,0.0,0.0,0.0,10198491,True,True,,,,
10198469,G7H11,34.02,KG,GITPD,74152024.0,1879604,3202656509,,,42.0,0.81,309.0,414.0,210.0,1.0,34.02,200.4,120.0,80.0,5.67,0.0,0.0,0.0,10198469,True,True,,,,
10198469,G7H11,34.02,KG,GITPD,74152024.0,1879605,3202656509,,,42.0,0.81,309.0,414.0,210.0,1.0,34.02,200.4,120.0,80.0,5.67,0.0,0.0,0.0,10198469,True,True,,,,
10198469,G7H11,34.02,KG,GITPD,74152024.0,1879606,3202656509,,,42.0,0.81,309.0,414.0,210.0,1.0,34.02,200.4,120.0,80.0,5.67,0.0,0.0,0.0,10198469,True,True,,,,
10198469,G7H11,34.02,KG,GITPD,74152024.0,1879607,3202656509,,,42.0,0.81,309.0,414.0,210.0,1.0,34.02,200.4,120.0,80.0,5.67,0.0,0.0,0.0,10198469,True,True,,,,
10198469,G7D12,34.02,KG,GITPD,74152024.0,1879608,3202656509,,,42.0,0.81,309.0,414.0,210.0,1.0,34.02,200.4,120.0,80.0,5.67,0.0,0.0,0.0,10198469,True,True,,,,
10198469,G7D12,34.02,KG,GITPD,74152024.0,1879609,3202656509,,,42.0,0.81,309.0,414.0,210.0,1.0,34.02,200.4,120.0,80.0,5.67,0.0,0.0,0.0,10198469,True,True,,,,
10198468,G7B11A,59.4,KG,GITPD,74162024.0,1879610,3202656509,,,30.0,1.98,341.0,442.0,315.0,1.0,59.4,185.5,120.0,80.0,11.88,0.0,0.0,0.0,10198468,True,True,,,,
10198787,G7D08,71.4,KG,GITPD,74142024.0,1879611,3202656509,,,35.0,2.04,346.0,552.0,212.0,1.0,71.4,188.0,120.0,80.0,14.28,0.0,0.0,0.0,10198787,True,True,,,,
10198787,G7D08,71.4,KG,GITPD,74142024.0,1879612,3202656509,,,35.0,2.04,346.0,552.0,212.0,1.0,71.4,188.0,120.0,80.0,14.28,0.0,0.0,0.0,10198787,True,True,,,,
10198787,G7D08,71.4,KG,GITPD,74142024.0,1879613,3202656509,,,35.0,2.04,346.0,552.0,212.0,1.0,71.4,188.0,120.0,80.0,14.28,0.0,0.0,0.0,10198787,True,True,,,,
10196266,R-02-03-12,124.2,KG,GITPD,55142024.0,1879614,3202656509,,,23.0,5.4,483.0,406.0,254.0,1.0,124.2,185.3,120.0,80.0,37.8,0.0,0.0,0.0,10196266,True,False,,,,
10196266,R-02-03-13,124.2,KG,GITPD,55142024.0,1879615,3202656509,,,23.0,5.4,483.0,406.0,254.0,1.0,124.2,185.3,120.0,80.0,37.8,0.0,0.0,0.0,10196266,True,False,,,,
10196266,R-02-03-14,124.2,KG,GITPD,55142024.0,1879616,3202656509,,,23.0,5.4,483.0,406.0,254.0,1.0,124.2,185.3,120.0,80.0,37.8,0.0,0.0,0.0,10196266,True,False,,,,
10198466,G7B02A,34.02,KG,GITPD,74122024.0,1879617,3202656509,,,42.0,0.81,309.0,414.0,210.0,1.0,34.02,200.4,120.0,80.0,5.67,0.0,0.0,0.0,10198466,True,True,,,,
10196389,G7F02A,124.2,KG,GITPD,55132024.0,1879618,3202656509,,,23.0,5.4,483.0,406.0,254.0,1.0,124.2,185.3,120.0,80.0,37.8,0.0,0.0,0.0,10196389,True,False,,,,
10196389,G7F02A,124.2,KG,GITPD,55132024.0,1879619,3202656509,,,23.0,5.4,483.0,406.0,254.0,1.0,124.2,185.3,120.0,80.0,37.8,0.0,0.0,0.0,10196389,True,False,,,,
10196275,R-05-02-12,124.2,KG,GITPD,55112024.0,1879620,3202656509,,,23.0,5.4,483.0,406.0,254.0,1.0,124.2,185.3,120.0,80.0,37.8,0.0,0.0,0.0,10196275,True,True,,,,
10196289,R-12-03-04,172.8,KG,GITPD,55142024.0,1879621,3202656509,,,32.0,5.4,39.3,45.6,22.4,1.0,172.8,194.6,120.0,80.0,37.8,0.0,0.0,0.0,10196289,True,True,,,,
10196726,G7C06,36.54,KG,GITPD,74152024.0,1879622,3202656509,,,42.0,0.87,309.0,414.0,210.0,1.0,36.54,200.4,120.0,80.0,6.09,0.0,0.0,0.0,10196726,True,True,,,,
10196726,G7C06,36.54,KG,GITPD,74152024.0,1879623,3202656509,,,42.0,0.87,309.0,414.0,210.0,1.0,36.54,200.4,120.0,80.0,6.09,0.0,0.0,0.0,10196726,True,True,,,,
10196726,G7C06,36.54,KG,GITPD,74152024.0,1879624,3202656509,,,42.0,0.87,309.0,414.0,210.0,1.0,36.54,200.4,120.0,80.0,6.09,0.0,0.0,0.0,10196726,True,True,,,,
10196408,R04-01,75.6,KG,S02,55132024.0,1879625,3202656509,,,13.999999999999998,5.4,483.0,406.0,254.0,0.608695652173913,124.2,185.3,120.0,80.0,37.8,0.0,0.0,0.0,10196408,True,True,,,,
50063290,G7H11A,200.0,TH,GITPD,74152024.0,1879626,3202810800,,,20.0,10.0,460.0,443.0,30.0,1.0,200.0,199.0,120.0,80.0,50.0,0.0,0.0,0.0,50063290,True,True,,,,
50063290,G7H11A,200.0,TH,GITPD,74152024.0,1879626,3202810800,,,20.0,10.0,460.0,443.0,30.0,1.0,200.0,199.0,120.0,80.0,50.0,0.0,0.0,0.0,50063290,True,True,,,,
50063290,G7H11A,200.0,TH,GITPD,74152024.0,1879627,3202810800,,,20.0,10.0,460.0,443.0,30.0,1.0,200.0,199.0,120.0,80.0,50.0,0.0,0.0,0.0,50063290,True,True,,,,
50063290,G7H11A,200.0,TH,GITPD,74152024.0,1879627,3202810800,,,20.0,10.0,460.0,443.0,30.0,1.0,200.0,199.0,120.0,80.0,50.0,0.0,0.0,0.0,50063290,True,True,,,,
50063261,G7C11,200.0,TH,GITPD,74122024.0,1879628,3202810800,,,20.0,10.0,460.0,443.0,330.0,1.0,200.0,199.0,120.0,80.0,50.0,0.0,0.0,0.0,50063261,True,True,,,,
50063261,G7C11,200.0,TH,GITPD,74122024.0,1879628,3202810800,,,20.0,10.0,460.0,443.0,330.0,1.0,200.0,199.0,120.0,80.0,50.0,0.0,0.0,0.0,50063261,True,True,,,,
50063261,G7F05A,200.0,TH,GITPD,74122024.0,1879629,3202810800,,,20.0,10.0,460.0,443.0,330.0,1.0,200.0,199.0,120.0,80.0,50.0,0.0,0.0,0.0,50063261,True,True,,,,
50063261,G7F05A,200.0,TH,GITPD,74122024.0,1879629,3202810800,,,20.0,10.0,460.0,443.0,330.0,1.0,200.0,199.0,120.0,80.0,50.0,0.0,0.0,0.0,50063261,True,True,,,,
50063261,G7F05A,200.0,TH,GITPD,74122024.0,1879630,3202810800,,,20.0,10.0,460.0,443.0,330.0,1.0,200.0,199.0,120.0,80.0,50.0,0.0,0.0,0.0,50063261,True,True,,,,
50063261,G7F05A,200.0,TH,GITPD,74122024.0,1879630,3202810800,,,20.0,10.0,460.0,443.0,330.0,1.0,200.0,199.0,120.0,80.0,50.0,0.0,0.0,0.0,50063261,True,True,,,,
50063261,G7F05A,200.0,TH,GITPD,74122024.0,1879631,3202810800,,,20.0,10.0,460.0,443.0,330.0,1.0,200.0,199.0,120.0,80.0,50.0,0.0,0.0,0.0,50063261,True,True,,,,
50063261,G7F05A,200.0,TH,GITPD,74122024.0,1879631,3202810800,,,20.0,10.0,460.0,443.0,330.0,1.0,200.0,199.0,120.0,80.0,50.0,0.0,0.0,0.0,50063261,True,True,,,,
50065302,G7F08A,200.0,TH,GITPD,,1879632,3202810800,,,20.0,10.0,460.0,443.0,330.0,1.0,200.0,199.0,120.0,80.0,50.0,0.0,0.0,0.0,50065302,True,True,,,,
50065302,G7F08A,200.0,TH,GITPD,,1879633,3202810800,,,20.0,10.0,460.0,443.0,330.0,1.0,200.0,199.0,120.0,80.0,50.0,0.0,0.0,0.0,50065302,True,True,,,,
50065302,G7F08A,200.0,TH,GITPD,,1879634,3202810800,,,20.0,10.0,460.0,443.0,330.0,1.0,200.0,199.0,120.0,80.0,50.0,0.0,0.0,0.0,50065302,True,True,,,,
10198938,G7B12A,153.0,TH,GITPD,55142024.0,1879635,3202810800,,,36.0,4.25,30.2,52.6,24.6,1.0,153.0,196.2,120.0,80.0,25.5,0.0,0.0,0.0,10198938,True,True,,,,
10185465,R07-02,50.0,TH,S01,4998387.0,1879636,3202810800,,,5.0,10.0,505.0,406.0,214.0,0.23809523809523808,210.0,166.5,120.0,80.0,70.0,0.0,0.0,0.0,10185465,True,True,,,,
10198929,R04-03,4.25,TH,S02,55112024.0,1879637,3202810800,,,1.0,4.25,30.2,52.6,24.6,0.027777777777777776,153.0,196.2,120.0,80.0,25.5,0.0,0.0,0.0,10198929,True,True,,,,
