,index,CorrespondingMastercases_mean,CorrespondingMastercases_se,CorrespondingMastercases_ci_lower,CorrespondingMastercases_ci_upper,CorrespondingOuters_mean,CorrespondingOuters_se,CorrespondingOuters_ci_lower,CorrespondingOuters_ci_upper,CorrespondingPallets_mean,CorrespondingPallets_se,CorrespondingPallets_ci_lower,CorrespondingPallets_ci_upper,erstellungsDatum,run_ID,erstellt von
0,2025-01-23,432.6626769194306,587.7743140302076,-719.3538096175121,1584.6791634563733,371.7160162527831,353.280977517193,-320.70197610401965,1064.1340086095859,21.488753938133087,24.841406684817443,-27.199508489421646,70.17701636568782,2025-01-21 09:55:23,8a4cf902-ceae-491f-82fa-d5cb79454feb,Martin
1,2025-01-24,1715.077476240026,599.4285341195259,540.2191380601164,2889.935814419936,1405.8653206684357,361.50770134246994,697.3232459033325,2114.407395433539,56.65864330844276,25.61790968004014,6.44846297636407,106.86882364052146,2025-01-21 09:55:23,8a4cf902-ceae-491f-82fa-d5cb79454feb,Martin
2,2025-01-27,1792.8488142126012,603.179896096739,610.6379416643808,2975.0596867608215,683.8704193916819,362.15315058746893,-25.936712647467857,1393.6775514308317,62.426201855500715,25.7880799732394,11.882493877512843,112.96990983348859,2025-01-21 09:55:23,8a4cf902-ceae-491f-82fa-d5cb79454feb,Martin
3,2025-01-28,1308.438685324924,606.3326137645139,120.04859969444192,2496.828770955406,1229.012413603481,362.3096320832484,518.8985834683565,1939.1262437386056,31.463325458560305,25.896842202551298,-19.293552571757168,82.22020348887779,2025-01-21 09:55:23,8a4cf902-ceae-491f-82fa-d5cb79454feb,Martin
4,2025-01-29,1429.2619051888278,609.4104068209439,234.83945601587538,2623.68435436178,504.9486810883177,362.40848708284483,-205.3589012857076,1215.256263462343,51.25004194239563,25.99585161018598,0.2991090389835378,102.20097484580774,2025-01-21 09:55:23,8a4cf902-ceae-491f-82fa-d5cb79454feb,Martin
5,2025-01-30,531.320590876868,625.964333012994,-695.5469574352369,1758.1881391889729,461.01119677718725,365.85111385689873,-256.043810086197,1178.0662036405715,28.508727706275735,26.295071174173604,-23.028664766021876,80.04612017857335,2025-01-21 09:55:23,8a4cf902-ceae-491f-82fa-d5cb79454feb,Martin
6,2025-01-31,1701.0800825851784,630.7425165120858,464.8474667033299,2937.312698467027,1411.3621558140899,366.2490594549203,693.5271899107771,2129.1971217174028,56.61740930936671,26.430794999953342,4.814003026696817,108.4208155920366,2025-01-21 09:55:23,8a4cf902-ceae-491f-82fa-d5cb79454feb,Martin
7,2025-02-03,1710.29134624869,634.6657474712325,466.36933898388133,2954.2133535134985,679.8710634274553,366.3994733349449,-38.25870826348057,1398.000835118391,61.095211097888395,26.543879177174638,9.070163900643422,113.12025829513337,2025-01-21 09:55:23,8a4cf902-ceae-491f-82fa-d5cb79454feb,Martin
8,2025-02-04,1232.2122110362977,638.4820481189379,-19.18960805219035,2483.614030124786,1223.358494459969,366.51469035431495,505.0029015606618,1941.7140873592762,29.970467778286793,26.652801746557365,-22.268063732051896,82.20899928862548,2025-01-21 09:55:23,8a4cf902-ceae-491f-82fa-d5cb79454feb,Martin
9,2025-02-05,1505.4967035978432,642.2668883721259,246.67673392586926,2764.3166732698173,488.8171633975513,366.6234347543876,-229.75156460941866,1207.3858914045213,50.326210618994395,26.760635733214354,-2.1236716215013587,102.77609285949015,2025-01-21 09:55:23,8a4cf902-ceae-491f-82fa-d5cb79454feb,Martin
10,2025-02-06,498.9611396353098,651.6579777244995,-778.2650269429139,1776.1873062135335,451.3751809936876,370.85708585469064,-275.4913506929848,1178.24171268036,27.17842849639795,27.039096381254968,-25.81722658536909,80.17408357816498,2025-01-21 09:55:23,8a4cf902-ceae-491f-82fa-d5cb79454feb,Martin
11,2025-02-07,1659.5260533729293,656.2789139661163,373.24301818628055,2945.809088559578,1403.035989563793,371.3469905804274,675.2092622588206,2130.8627168687653,55.213964228056426,27.18054329288336,1.941078293773316,108.48685016233954,2025-01-21 09:55:23,8a4cf902-ceae-491f-82fa-d5cb79454feb,Martin
12,2025-02-10,1663.1427682082854,660.4664064511983,368.6523985653439,2957.633137851227,671.6911777144657,371.53251813575815,-56.499176917094815,1399.8815323460262,59.678411857564534,27.302117677988083,6.1672445070335655,113.1895792080955,2025-01-21 09:55:23,8a4cf902-ceae-491f-82fa-d5cb79454feb,Martin
13,2025-02-11,1185.580198836592,664.5858064564529,-116.98404645456276,2488.1444441277467,1215.2039715077822,371.6747302274397,486.7348862983598,1943.6730567172044,28.551980944820524,27.41991173160091,-25.190058508384563,82.29402039802561,2025-01-21 09:55:23,8a4cf902-ceae-491f-82fa-d5cb79454feb,Martin
